sub:1	obj:1	sub:2	obj:2
215	21	209	""
188	188	22	""
156	156	230	""
222	265	269	""
229	68	131	""
26	268	202	""
37	255	81	""
220	93	77	""
259	240	40	""
94	137	266	""
223	195	199	""
""	""	123	""
""	""	192	""
114	150	111	""
106	106	156	""
105	142	117	""
25	189	198	""
183	183	146	""
""	""	65	""
""	""	254	""
111	263	207	""
35	52	162	74
52	35	139	129
18	70	223	""
254	80	9	""
""	""	83	""
150	178	220	""
112	42	154	104
82	245	60	""
203	203	3	172
142	127	108	""
""	""	196	""
186	149	53	""
245	231	246	""
137	254	79	""
""	""	210	""
141	97	233	""
168	27	110	""
121	252	259	""
""	""	49	""
10	49	204	""
14	264	158	""
""	""	265	""
109	109	173	""
124	124	7	205
""	""	129	""
17	26	96	""
""	""	226	""
""	""	225	""
113	30	200	19
154	154	54	126
59	162	138	193
44	135	256	""
""	""	237	""
""	""	262	""
15	15	51	87
252	62	148	""
""	""	255	""
258	258	73	79
5	31	187	""
45	""	134	""
""	""	20	""
265	4	153	""
92	247	194	""
208	77	70	""
268	207	31	""
116	186	82	""
247	58	23	""
27	75	107	""
232	232	169	224
57	216	186	""
""	""	12	""
160	160	87	159
53	92	244	""
177	244	219	""
158	84	176	""
31	163	71	""
264	94	236	""
162	59	11	190
100	18	188	""
148	239	190	""
216	""	88	""
""	""	253	""
""	""	39	""
""	""	76	""
202	221	35	""
256	256	61	""
20	56	247	""
176	115	177	""
""	""	260	""
153	217	103	""
""	""	72	""
101	11	232	89
250	146	69	180
23	102	46	""
""	""	37	""
179	202	16	""
""	""	191	""
""	""	119	""
239	67	44	""
""	""	211	""
54	54	205	184
207	208	163	""
257	185	224	""
11	101	15	147
242	213	238	""
226	45	32	""
199	199	113	63
43	5	183	""
75	219	214	""
""	""	165	""
200	200	234	164
80	57	152	""
127	10	261	""
233	44	185	""
253	225	213	""
135	176	201	""
""	""	127	""
131	17	267	""
""	""	215	""
68	194	26	""
56	36	86	""
""	""	1	""
86	81	128	""
201	177	166	""
29	29	155	6
263	220	78	""
213	170	197	""
219	131	179	""
70	206	99	""
""	""	57	""
221	43	171	""
189	270	6	""
""	""	181	""
""	""	149	""
38	25	136	""
16	16	133	72
102	55	268	""
97	158	135	""
85	85	34	249
192	226	212	""
194	41	227	""
230	201	75	""
152	134	193	""
237	20	122	""
91	2	143	""
210	12	243	""
231	86	19	""
187	187	160	""
28	28	64	212
""	""	50	""
58	114	102	""
""	""	13	""
99	99	184	""
185	230	218	""
241	53	104	""
238	111	147	""
""	""	161	""
4	210	217	""
182	66	106	""
12	215	180	""
""	""	175	""
78	78	100	""
217	148	271	""
""	""	80	""
""	""	142	""
178	48	95	""
77	257	174	""
""	""	252	""
42	112	132	246
195	223	28	""
""	""	151	""
270	233	118	""
240	141	189	""
21	14	67	""
90	229	17	""
41	23	120	""
48	153	38	""
67	236	144	""
123	157	141	""
30	113	101	103
""	""	182	""
134	105	245	""
2	192	24	""
""	""	66	""
255	222	33	""
163	100	98	""
84	152	241	""
169	169	124	155
93	38	228	""
""	""	74	""
36	37	58	""
157	182	239	""
236	116	115	""
149	237	92	""
71	71	8	""
81	242	55	""
""	""	235	""
60	60	126	""
206	168	47	""
244	90	140	""
""	""	4	""
""	""	10	""
""	""	145	""
""	""	36	""
62	123	240	""
66	91	84	""
125	125	125	7
146	250	42	173
55	238	130	""
225	121	150	""
170	259	167	""
""	""	63	""
49	253	242	""
248	248	251	""
""	""	121	""
""	""	2	""
115	82	90	""
