sub:1	obj:1	sub:2	obj:2
13	182	193	""
""	""	175	""
188	188	139	""
156	156	17	""
225	121	270	""
""	""	262	""
229	68	221	""
17	26	223	""
""	""	196	""
255	222	40	""
220	93	218	""
217	148	177	""
137	76	247	""
223	195	160	""
""	""	212	""
""	""	37	""
213	170	257	""
67	236	246	""
142	127	220	""
25	189	166	""
183	183	133	""
""	""	158	""
""	""	10	""
263	111	224	""
35	52	113	74
52	35	34	129
18	70	251	""
254	80	58	""
""	""	9	""
""	""	76	""
170	259	118	""
""	""	157	""
42	112	154	104
""	""	4	""
53	92	268	""
""	""	265	""
203	203	73	172
127	10	167	""
""	""	211	""
149	237	55	""
""	""	83	""
92	247	147	""
76	254	86	""
""	""	79	""
""	""	252	""
""	""	109	""
""	""	215	""
""	""	74	""
148	239	60	""
""	""	121	""
174	27	171	""
4	210	135	""
""	""	240	""
49	253	103	""
264	94	92	""
""	""	106	""
123	13	241	""
""	""	80	""
124	124	7	205
""	""	56	""
131	17	188	""
""	""	165	""
""	""	239	""
112	42	200	19
""	""	181	""
154	154	54	126
59	59	138	193
44	135	140	""
""	""	170	""
""	""	142	""
15	15	51	87
210	12	44	""
""	""	180	""
258	258	42	79
5	31	203	""
45	""	114	""
""	""	178	""
121	252	156	""
231	86	207	""
""	""	151	""
78	78	110	""
26	268	99	""
152	149	128	""
86	81	78	""
""	""	191	""
27	75	183	""
232	232	169	224
57	216	33	""
""	""	24	""
""	""	226	""
160	160	112	159
245	231	130	""
""	""	192	""
177	244	248	""
236	116	19	""
""	""	210	""
31	163	199	""
91	161	117	""
30	113	11	190
100	18	16	""
""	""	57	""
97	158	244	""
216	""	213	""
""	""	173	""
""	""	143	""
""	""	127	""
202	221	28	""
256	256	267	""
56	36	197	""
115	82	227	""
""	""	186	""
259	240	201	""
""	""	237	""
""	""	45	""
11	101	232	89
250	146	29	180
""	""	123	""
23	102	70	""
""	""	141	""
179	202	8	""
""	""	152	""
""	""	63	""
""	""	12	""
106	106	68	""
""	""	217	""
""	""	65	""
54	54	205	184
268	207	47	""
257	185	214	""
200	200	15	147
114	150	198	""
""	""	66	""
226	45	81	""
199	199	64	63
43	5	184	""
75	219	187	""
""	""	243	""
132	132	234	164
80	57	242	""
10	49	93	""
""	""	21	""
""	""	91	""
233	44	126	""
65	265	189	""
""	""	72	""
135	115	26	""
""	""	48	""
219	131	98	""
""	""	32	""
68	194	163	""
36	37	95	""
""	""	269	""
58	114	77	""
""	""	13	""
""	""	182	""
""	""	216	""
201	177	202	""
101	11	155	6
111	220	27	""
150	178	6	""
166	166	71	""
70	206	35	""
""	""	222	""
221	43	22	""
""	""	145	""
189	270	219	""
""	""	97	""
""	""	161	""
""	""	150	""
38	25	75	""
""	""	14	""
16	16	30	72
102	55	206	""
""	""	94	""
239	67	229	""
""	""	260	""
85	85	3	249
192	226	204	""
194	41	100	""
230	201	96	""
186	105	102	""
20	56	111	""
161	2	108	""
62	123	144	""
""	""	225	""
247	58	208	""
187	187	59	""
""	""	39	""
28	28	87	212
""	""	255	""
81	242	228	""
""	""	116	""
""	""	254	""
99	99	146	""
185	230	179	""
82	245	46	""
238	263	168	""
""	""	105	""
""	""	235	""
""	""	119	""
252	62	190	""
182	91	231	""
109	109	115	""
""	""	1	""
207	208	195	""
240	141	90	""
""	""	2	""
""	""	49	""
""	""	62	""
""	""	153	""
48	153	230	""
208	257	107	""
""	""	266	""
29	29	132	246
195	223	250	""
""	""	20	""
270	233	131	""
141	97	104	""
21	264	245	""
90	229	31	""
41	23	18	""
153	217	256	""
""	""	50	""
158	84	194	""
215	157	82	""
113	30	101	103
""	""	134	""
237	20	238	""
2	192	261	""
""	""	88	""
""	""	264	""
222	225	271	""
""	""	137	""
163	100	85	""
116	186	41	""
169	169	124	155
93	38	61	""
""	""	149	""
37	255	38	""
157	21	53	""
84	152	23	""
105	142	263	""
71	71	162	""
242	213	136	""
""	""	67	""
60	60	43	""
206	174	52	""
244	90	5	""
""	""	84	""
""	""	148	""
""	""	253	""
""	""	259	""
""	""	129	""
12	215	176	""
94	137	122	""
125	125	125	7
146	250	69	173
55	238	174	""
265	4	233	""
178	48	185	""
""	""	209	""
253	65	25	""
248	248	258	""
""	""	236	""
""	""	36	""
241	53	120	""
